Timestamp,isLeftGazeValid, isRightGazeValid,leftGazePosX,leftGazePosY,leftGazePosZ,leftGazeRotX,leftGazeRotY,leftGazeRotZ,leftGazeRotW,rightGazePosX,rightGazePosY,rightGazePosZ,rightGazeRotX,rightGazeRotY,rightGazeRotZ,rightGazeRotW,isLeftPupilDiameterValid, isRightPupilDiameterValid,leftPupilDiameter,rightPupilDiameter,isLeftPupilPositionValid, isLRightPupilPositionValidleftPupilPositionX,leftPupilPositionY,rightPupilPositionX,rightPupilPositionY,isleftGeometricValid,isRightGeometricValid,leftOpenness,rightOpenness,leftWide,rightWide,leftSqueeze,rightSqueeze,headPosX,headPosY,headPosZ,headRotX,headRotY,headRotZ,headRotW
2025-06-20 13:33:31.156,1,1,-1.153115,0.5794427,2.421486,0.07642935,-0.005049183,-0.06343666,-0.9950422,-1.089242,0.5876859,2.4207740.07738427,-0.02107817,-0.06400794,-0.9947213,1,1,6.501209,6.730482,1,1,0.4933352,0.4670265,0.5215592,0.473886,1,1,0.9999999,0.9999999,0,0,0,0,-1.12152,0.5837702,-2.437382,0.01938408,0.003806322,0.06331094,0.9977983
2025-06-20 13:33:31.163,1,1,-1.153057,0.5794452,2.421281,0.07694268,-0.004565742,-0.06337217,-0.9950091,-1.089184,0.5876824,2.4205790.07789797,-0.02059555,-0.0639507,-0.9946949,1,1,6.493084,6.73619,1,1,0.4934162,0.466908,0.5224043,0.4734257,1,1,0.9999999,0.9999999,0,0,0,0,-1.121464,0.5837713,-2.437183,0.0194482,0.003899701,0.0632623,0.9977998
2025-06-20 13:33:31.175,1,1,-1.152986,0.579447,2.421023,0.07720184,-0.004402847,-0.06331543,-0.9949933,-1.089112,0.5876778,2.420330.07815642,-0.02043283,-0.06389765,-0.9946815,1,1,6.485125,6.740251,1,1,0.4934162,0.466908,0.5221202,0.4731746,1,1,0.9999999,0.9999999,0,0,0,0,-1.121381,0.5837711,-2.436879,0.01948327,0.003980769,0.0631993,0.9978028
2025-06-20 13:33:31.186,1,1,-1.152881,0.5794501,2.420741,0.07740709,-0.004273946,-0.06328503,-0.9949799,-1.089007,0.5876777,2.4200530.07836136,-0.02030406,-0.06387036,-0.9946697,1,1,6.477278,6.742268,1,1,0.4929707,0.4669148,0.5221202,0.4731746,1,1,0.9999999,0.9999999,0,0,0,0,-1.121292,0.5837744,-2.436648,0.01949208,0.004021704,0.06317354,0.9978041
2025-06-20 13:33:31.196,1,1,-1.152804,0.5794364,2.420501,0.07746744,-0.00434494,-0.06330376,-0.9949737,-1.08893,0.5876661,2.4198140.07842157,-0.02037488,-0.06388828,-0.9946624,1,1,6.472217,6.743266,1,1,0.4929707,0.4669148,0.5221202,0.4731746,1,1,0.9999999,0.9999999,0,0,0,0,-1.121217,0.5837647,-2.436407,0.01953159,0.004029499,0.06318441,0.9978026
2025-06-20 13:33:31.207,1,1,-1.152707,0.5794069,2.420229,0.07815519,-0.003905847,-0.06334104,-0.9949194,-1.088834,0.587643,2.4195420.07911114,-0.01993648,-0.06393333,-0.9946138,1,1,6.462749,6.74605,1,1,0.4926265,0.4667881,0.5219579,0.4728905,1,1,0.9999999,0.9999999,0,0,0,0,-1.121122,0.5837439,-2.436132,0.01964861,0.00404088,0.0632325,0.9977973
2025-06-20 13:33:31.218,1,1,-1.152639,0.5793819,2.420053,0.07845236,-0.003667306,-0.06336571,-0.9948953,-1.088766,0.5876222,2.4193680.07940954,-0.01969836,-0.06395991,-0.994593,1,1,6.451986,6.747488,1,1,0.4924476,0.4665712,0.5219579,0.4728905,1,1,0.9999999,0.9999999,0,0,0,0,-1.121038,0.58372,-2.435912,0.01977581,0.004069376,0.0632758,0.9977918
2025-06-20 13:33:31.230,1,1,-1.152533,0.5793118,2.41976,0.07904212,-0.003280095,-0.06339891,-0.9948478,-1.088661,0.5875583,2.4190810.08000103,-0.01931178,-0.06399556,-0.9945509,1,1,6.434084,6.744648,1,1,0.4923432,0.4660803,0.5219914,0.4726553,1,1,0.9999999,0.9999999,0,0,0,0,-1.120952,0.5836672,-2.435664,0.01997786,0.004128629,0.06332123,0.9977847
2025-06-20 13:33:31.241,1,1,-1.152433,0.5792581,2.419519,0.07943603,-0.003154993,-0.06339888,-0.9948168,-1.088561,0.5875053,2.4188440.08039519,-0.01918694,-0.06399343,-0.9945217,1,1,6.427006,6.741222,1,1,0.4923432,0.4660803,0.5221237,0.472443,1,1,0.9999999,0.9999999,0,0,0,0,-1.120853,0.5836237,-2.435422,0.02023197,0.004179843,0.06333441,0.9977785
2025-06-20 13:33:31.253,1,1,-1.152337,0.5791965,2.419299,0.07994997,-0.003058669,-0.0633691,-0.9947779,-1.088464,0.58744,2.4186210.08090881,-0.01909095,-0.06396186,-0.9944839,1,1,6.422363,6.73827,1,1,0.4923432,0.4660803,0.5221237,0.472443,1,1,0.9999999,0.9999999,0,0,0,0,-1.120757,0.5835722,-2.435197,0.02054907,0.004184868,0.06331439,0.9977733
